BLZ;Institutsname;BIC;Host;URL;Ver.;PIN-1;PIN-2;DDV-1;DDV-2;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;Ku-ID;Benutzer;iTAN;UseBLZ;Hinweis;InstitutsnameLang;ValidFrom;RAH-7;RAH-9;RAH-10;IconName
20730040;UniCredit Bk Settlemt EAC40;HYVEDEMME40;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC40;;;;;Hypo
20730041;UniCredit Bk Settlemt EAC41;HYVEDEMME41;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC41;;;;;Hypo
20730042;UniCredit Bk Settlemt EAC42;HYVEDEMME42;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC42;;;;;Hypo
20730043;UniCredit Bk Settlemt EAC43;HYVEDEMME43;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC43;;;;;Hypo
20730044;UniCredit Bk Settlemt EAC44;HYVEDEMME44;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC44;;;;;Hypo
20730045;UniCredit Bk Settlemt EAC45;HYVEDEMME45;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC45;;;;;Hypo
20730046;UniCredit Bk Settlemt EAC46;HYVEDEMME46;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC46;;;;;Hypo
20730047;UniCredit Bk Settlemt EAC47;HYVEDEMME47;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC47;;;;;Hypo
20730048;UniCredit Bk Settlemt EAC48;HYVEDEMME48;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC48;;;;;Hypo
20730049;UniCredit Bk Settlemt EAC49;HYVEDEMME49;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC49;;;;;Hypo
20730050;UniCredit Bk Settlemt EAC50;HYVEDEMME50;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC50;;;;;Hypo
20730052;UniCredit Bk Settlemt EAC52;HYVEDEMME52;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC52;;;;;Hypo
20730055;UniCredit Bk Settlemt EAC55;HYVEDEMME55;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC55;;;;;Hypo
20730056;UniCredit Bk Settlemt EAC56;HYVEDEMME56;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC56;;;;;Hypo
20730057;UniCredit Bk Settlemt EAC57;HYVEDEMME57;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC57;;;;;Hypo
20730058;UniCredit Bk Settlemt EAC58;HYVEDEMME58;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC58;;;;;Hypo
20730059;UniCredit Bk Settlemt EAC59;HYVEDEMME59;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC59;;;;;Hypo
20730060;UniCredit Bk Settlemt EAC60;HYVEDEMME60;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC60;;;;;Hypo
20730061;UniCredit Bk Settlemt EAC61;HYVEDEMME61;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC61;;;;;Hypo
20730062;UniCredit Bk Settlemt EAC62;HYVEDEMME62;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC62;;;;;Hypo
20730063;UniCredit Bk Settlemt EAC63;HYVEDEMME63;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC63;;;;;Hypo
20730064;UniCredit Bk Settlemt EAC64;HYVEDEMME64;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC64;;;;;Hypo
20730065;UniCredit Bk Settlemt EAC65;HYVEDEMME65;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC65;;;;;Hypo
20730066;UniCredit Bk Settlemt EAC66;HYVEDEMME66;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC66;;;;;Hypo
20730067;UniCredit Bk Settlemt EAC67;HYVEDEMME67;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC67;;;;;Hypo
20730068;UniCredit Bk Settlemt EAC68;HYVEDEMME68;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC68;;;;;Hypo
20730069;UniCredit Bk Settlemt EAC69;HYVEDEMME69;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC69;;;;;Hypo
20730070;UniCredit Bk Settlemt EAC70;HYVEDEMME70;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC70;;;;;Hypo
20730071;UniCredit Bk Settlemt EAC71;HYVEDEMME71;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC71;;;;;Hypo
20730072;UniCredit Bk Settlemt EAC72;HYVEDEMME72;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC72;;;;;Hypo
20730073;UniCredit Bk Settlemt EAC73;HYVEDEMME73;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC73;;;;;Hypo
20730074;UniCredit Bk Settlemt EAC74;HYVEDEMME74;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC74;;;;;Hypo
20730075;UniCredit Bk Settlemt EAC75;HYVEDEMME75;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC75;;;;;Hypo
20730076;UniCredit Bk Settlemt EAC76;HYVEDEMME76;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC76;;;;;Hypo
20730077;UniCredit Bk Settlemt EAC77;HYVEDEMME77;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC77;;;;;Hypo
20730078;UniCredit Bk Settlemt EAC78;HYVEDEMME78;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC78;;;;;Hypo
20730079;UniCredit Bk Settlemt EAC79;HYVEDEMME79;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC79;;;;;Hypo
20730080;UniCredit Bk Settlemt EAC80;HYVEDEMME80;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC80;;;;;Hypo
20730081;UniCredit Bk Settlemt EAC81;HYVEDEMME81;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC81;;;;;Hypo
20730082;UniCredit Bk Settlemt EAC82;HYVEDEMME82;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC82;;;;;Hypo
20730083;UniCredit Bk Settlemt EAC83;HYVEDEMME83;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC83;;;;;Hypo
20730084;UniCredit Bk Settlemt EAC84;HYVEDEMME84;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC84;;;;;Hypo
20730085;UniCredit Bk Settlemt EAC85;HYVEDEMME85;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC85;;;;;Hypo
20730086;UniCredit Bk Settlemt EAC86;HYVEDEMME86;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC86;;;;;Hypo
20730087;UniCredit Bk Settlemt EAC87;HYVEDEMME87;;;;;;;;;;;;;;;;;;;;;;;UniCredit Bank - HVB Settlement EAC87;;;;;Hypo
